text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:57:00,FALSE,NA,1186567117316837376,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,YanmitheCute,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:56:48,FALSE,NA,1186567066356076544,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Exista12,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:56:37,FALSE,NA,1186567021212733440,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,BlooVe_1,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:55:15,FALSE,NA,1186566674624872448,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,D14103776,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:54:45,FALSE,NA,1186566548816719872,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,gesali991007,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:54:15,FALSE,NA,1186566425302814720,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,killistt,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:54:10,FALSE,NA,1186566404587184128,NA,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,choyani_,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:54:03,FALSE,NA,1186566373289295875,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,DP_s_2104118,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:53:46,FALSE,NA,1186566303240208384,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,sky__lastresort,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:53:24,FALSE,NA,1186566211192025089,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,DANED0,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:53:16,FALSE,NA,1186566178577121280,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,siyansiyan_,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:52:33,FALSE,NA,1186565996447797248,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Me_Sa_Jang,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:52:13,FALSE,NA,1186565912540827649,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,im_somsatang,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:51:45,FALSE,NA,1186565793313542144,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,marinblue070,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:51:12,FALSE,NA,1186565658311479296,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,_Booo_ooom,3875,TRUE,FALSE,NA,NA
