text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @YOUBI_0613: 아이쿠 아이폰 11pro님 제가 몰라봤습니다요 그동안 인덕션이라고 대포라고 놀려서 죄송합니다.. 월드스타 지민이 선택한 폰.. 저를 용서하세요 https://t.co/1IKko43RoX,FALSE,0,NA,2019-10-21 13:38:19,FALSE,NA,1186275524563238912,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,lina_B5eyVe,992,TRUE,FALSE,NA,NA
RT @YOUBI_0613: 아이쿠 아이폰 11pro님 제가 몰라봤습니다요 그동안 인덕션이라고 대포라고 놀려서 죄송합니다.. 월드스타 지민이 선택한 폰.. 저를 용서하세요 https://t.co/1IKko43RoX,FALSE,0,NA,2019-10-21 13:38:04,FALSE,NA,1186275462512693248,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,JIMIN_0613_ARMY,992,TRUE,FALSE,NA,NA
RT @YOUBI_0613: 아이쿠 아이폰 11pro님 제가 몰라봤습니다요 그동안 인덕션이라고 대포라고 놀려서 죄송합니다.. 월드스타 지민이 선택한 폰.. 저를 용서하세요 https://t.co/1IKko43RoX,FALSE,0,NA,2019-10-21 13:37:38,FALSE,NA,1186275352210890753,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,l0ve__33,992,TRUE,FALSE,NA,NA
RT @YOUBI_0613: 아이쿠 아이폰 11pro님 제가 몰라봤습니다요 그동안 인덕션이라고 대포라고 놀려서 죄송합니다.. 월드스타 지민이 선택한 폰.. 저를 용서하세요 https://t.co/1IKko43RoX,FALSE,0,NA,2019-10-21 13:34:53,FALSE,NA,1186274660066852864,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Banseokjin,992,TRUE,FALSE,NA,NA
RT @YOUBI_0613: 아이쿠 아이폰 11pro님 제가 몰라봤습니다요 그동안 인덕션이라고 대포라고 놀려서 죄송합니다.. 월드스타 지민이 선택한 폰.. 저를 용서하세요 https://t.co/1IKko43RoX,FALSE,0,NA,2019-10-21 13:31:06,FALSE,NA,1186273708471533569,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,b__t__20130613,992,TRUE,FALSE,NA,NA
우리 와기 아이폰11pro 샀더라..덕분에 뉴나도 방금 사전 예약으로 질렀어. 손민수템할궤,,💸 https://t.co/4WOSKSRAl6,FALSE,13,NA,2019-10-21 13:28:01,FALSE,NA,1186272931736739843,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,light_meandyou,1,FALSE,FALSE,NA,NA
RT @YOUBI_0613: 아이쿠 아이폰 11pro님 제가 몰라봤습니다요 그동안 인덕션이라고 대포라고 놀려서 죄송합니다.. 월드스타 지민이 선택한 폰.. 저를 용서하세요 https://t.co/1IKko43RoX,FALSE,0,NA,2019-10-21 13:27:28,FALSE,NA,1186272793148579841,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,500_500_500,992,TRUE,FALSE,NA,NA
RT @YOUBI_0613: 아이쿠 아이폰 11pro님 제가 몰라봤습니다요 그동안 인덕션이라고 대포라고 놀려서 죄송합니다.. 월드스타 지민이 선택한 폰.. 저를 용서하세요 https://t.co/1IKko43RoX,FALSE,0,NA,2019-10-21 13:23:27,FALSE,NA,1186271781268516864,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,0613_magicshop_,992,TRUE,FALSE,NA,NA
RT @YOUBI_0613: 아이쿠 아이폰 11pro님 제가 몰라봤습니다요 그동안 인덕션이라고 대포라고 놀려서 죄송합니다.. 월드스타 지민이 선택한 폰.. 저를 용서하세요 https://t.co/1IKko43RoX,FALSE,0,NA,2019-10-21 13:23:20,FALSE,NA,1186271754525655045,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,rani_130613_,992,TRUE,FALSE,NA,NA
RT @wassup_flash: 아이폰X                                 아이폰11pro https://t.co/uSzuBBTdJ1,FALSE,0,NA,2019-10-21 13:23:00,FALSE,NA,1186271667326078977,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,JxMflower,118,TRUE,FALSE,NA,NA
