titleId,weekday,title,src
706590,mon,피플,https://shared-comic.pstatic.net/thumb/webtoon/706590/thumbnail/thumbnail_IMAG10_8cc2bc75-2907-4654-b60b-71e5f0af6fd2.jpg
700858,mon,닥터 하운드,https://shared-comic.pstatic.net/thumb/webtoon/700858/thumbnail/thumbnail_IMAG10_20190617_migrated.jpg
710741,mon,부로콜리왕자,https://shared-comic.pstatic.net/thumb/webtoon/710741/thumbnail/thumbnail_IMAG10_c0dd56d6-d08a-4552-91f2-3be36b397349.jpg
733488,mon,메이크 업 드림 - Make Up Dream,https://shared-comic.pstatic.net/thumb/webtoon/733488/thumbnail/thumbnail_IMAG10_e2302035-719f-44be-ba28-f83b829b0d2a.jpg
713581,mon,내 여자친구는 상남자,https://shared-comic.pstatic.net/thumb/webtoon/713581/thumbnail/thumbnail_IMAG10_fce3c3c1-2356-4916-aba2-0f561f579c1c.jpg
730391,mon,하슬라,https://shared-comic.pstatic.net/thumb/webtoon/730391/thumbnail/thumbnail_IMAG10_50f4d08d-978f-43da-ac8c-bdfaac4426a6.jpg
733770,mon,인간의 온도,https://shared-comic.pstatic.net/thumb/webtoon/733770/thumbnail/thumbnail_IMAG10_bcfdab24-7ddb-4cb4-bd12-593eb3ee2270.jpg
720120,mon,내 어린고양이와 늙은개 (재),https://shared-comic.pstatic.net/thumb/webtoon/720120/thumbnail/thumbnail_IMAG10_97de015a-6d49-442e-8fd9-ddee2c1ed6b7.jpg
726189,mon,요괴대전,https://shared-comic.pstatic.net/thumb/webtoon/726189/thumbnail/thumbnail_IMAG10_47a237d4-4cce-46e4-8081-c4f650721f7f.jpg
730811,mon,사소한 냐냐,https://shared-comic.pstatic.net/thumb/webtoon/730811/thumbnail/thumbnail_IMAG10_50d81076-1442-437a-8a04-1b1dab7254c5.jpg
721455,mon,뱀파이어의 꽃,https://shared-comic.pstatic.net/thumb/webtoon/721455/thumbnail/thumbnail_IMAG10_29b3e2e2-7a67-4c5e-872a-5d9d62ca9ae1.jpg
724965,mon,플랫다이어리,https://shared-comic.pstatic.net/thumb/webtoon/724965/thumbnail/thumbnail_IMAG10_19a47276-a66c-4a76-b1b9-051215c307f2.jpg
734399,mon,여기 악마가 있어,https://shared-comic.pstatic.net/thumb/webtoon/734399/thumbnail/thumbnail_IMAG10_ffec1cd5-6896-4d88-842e-bad671225a26.jpg
